feature,mean_importance
marital,-0.0005143727874345694
housing,-0.0002165850520031598
job,8.20175616781993e-05
previous,0.000259273565265572
loan,0.00030153722513340806
cons.price.idx,0.0010326044260974665
education,0.0010903243364657534
default,0.0011209346895769356
campaign,0.0012449140911512113
poutcome,0.0013038835975597296
age,0.001383961739560191
contact,0.0017498595930581563
day_of_week,0.0018858929070812657
pdays,0.004204128360668408
cons.conf.idx,0.009994143162728054
euribor3m,0.022805704960587814
month,0.0230321657625498
nr.employed,0.026205643838920028
emp.var.rate,0.03873442180788722
duration,0.2583748654571344
