feature,mean_importance
housing,0.00039373252968663564
loan,0.0006388638454509155
previous,0.001105153185388208
job,0.0011575232027957016
poutcome,0.0017533096840569805
education,0.0023031601265249835
day_of_week,0.0029178041493121087
marital,0.0030132699097802974
contact,0.00532456714196175
age,0.005802324638926987
campaign,0.0064956684593964085
cons.price.idx,0.00854746029618766
pdays,0.00869081309658964
default,0.00946704873417541
month,0.01791424502981927
cons.conf.idx,0.029668134181066636
nr.employed,0.052335173091522934
euribor3m,0.11184737103105422
emp.var.rate,0.23634773684532498
duration,0.42076380183345463
