feature,mean_importance
previous,-2.9600302413995695e-05
campaign,-1.3701555327999548e-05
education,-2.439111712687625e-06
marital,0.0
housing,0.0
loan,0.0
default,9.154794415433543e-06
job,1.0594785448198029e-05
age,2.0682870525673414e-05
day_of_week,0.000122775605605141
contact,0.00017217257373492446
emp.var.rate,0.00031469613320834756
poutcome,0.0003348009926993856
cons.price.idx,0.003082991937901125
pdays,0.003653154689991994
month,0.006551519936424305
euribor3m,0.006719075213715131
cons.conf.idx,0.022223730596525364
nr.employed,0.0758343547822045
duration,0.1627226655606111
