feature,shap_importance
duration,0.08341645478275031
nr.employed,0.0638018864771216
cons.conf.idx,0.018536874807563188
pdays,0.007745259891196209
euribor3m,0.006292160610960608
month,0.0033143515495657333
cons.price.idx,0.0032294195379247398
poutcome,0.002272801882596371
contact,0.0016083530002449493
emp.var.rate,0.0006637634745216527
day_of_week,0.00047630831005665233
job,0.0003429685654371639
campaign,0.00017403105625333148
age,0.0001315728429309963
default,4.440607986766728e-05
previous,4.3943655862011194e-05
education,2.0096248252630135e-05
loan,0.0
housing,0.0
marital,0.0
